,REAL,PROPHET_Domingo,ARIMA_Domingo,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,1149.85,1074.229469,1062.484207,1089.683868,1082.865457,1066.28
H2,1069.36,1018.523656,1008.362265,1086.939045,1029.878105,971.66
H3,1005.65,980.973462,969.143376,982.647621,992.768773,898.42
H4,967.86,952.379697,946.707704,953.654213,950.746046,854.86
H5,942.66,939.96337,899.670701,953.390684,959.644263,836.17
H6,832.4955,853.997129,849.384674,843.173877,872.311654,730.19
H7,810.763,838.984606,824.628977,862.795408,919.117898,728.57
H8,835.511,903.966111,907.433009,916.909957,1031.723599,768.75
H9,882.73,975.402121,963.801012,966.634127,1135.113263,800.4
H10,941.549,1024.239214,1007.289502,1029.029949,1203.32263,853.64
H11,991.476,1057.600092,1037.700951,1059.59952,1267.289508,894.94
H12,1020.386,1081.933555,1021.571283,1077.528761,1283.709488,917.11
H13,1043.612,1081.65614,1017.528351,1087.307696,1298.571577,930.28
H14,1051.735,1083.757806,1054.718216,1095.61298,1327.124489,936.62
H15,1063.859,1097.56815,1058.47043,1105.227662,1344.021356,944.67
H16,1067.552,1109.38819,1044.433898,1122.475727,1349.952437,959.69
H17,1060.451,1114.653692,1053.986565,1125.758877,1307.556718,960.09
H18,1064.566,1124.058553,1074.32497,1108.550855,1274.881015,967.45
H19,1156.81,1229.144311,1168.393598,1271.344942,1352.337128,1056.1
H20,1322.06,1396.649461,1315.625518,1397.854078,1518.808742,1251.73
H21,1315.19,1386.367965,1313.380436,1381.450979,1499.539584,1251.57
H22,1261.36,1326.101432,1264.071874,1316.351968,1425.553656,1193.53
H23,1187.2,1223.969359,1138.046101,1202.890701,1324.294526,1097.65
H24,1098.04,1124.038669,1048.721529,1108.298561,1214.961043,1002.37
