,REAL,PROPHET_Lunes,ARIMA_Lunes,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,1024.41,997.176982,950.173923,1038.044102,1117.709462,959.64
H2,963.78,938.587162,892.78315,987.086101,1062.701392,905.77
H3,928.09,909.653092,870.550458,955.129833,1026.426255,870.63
H4,899.61,893.344412,878.907091,993.694556,1001.300208,847.44
H5,897.03,907.196613,869.964752,950.309714,1022.755655,843.14
H6,830.52,874.351865,857.498835,889.503413,955.967148,765.71
H7,834.592,928.274322,891.786794,1039.763979,1067.49859,784.74
H8,886.622,1017.923628,951.69274,1123.262883,1206.993137,846.25
H9,962.326,1101.574226,1065.104512,1227.849998,1343.962763,908.45
H10,1018.745,1166.828666,1136.751562,1284.431629,1419.953229,972.93
H11,1066.459,1208.026364,1201.695345,1327.334454,1478.064733,1019.08
H12,1098.047,1213.052017,1228.105458,1351.475038,1492.922375,1049.55
H13,1095.101,1195.84363,1216.795598,1331.820722,1470.054299,1053.81
H14,1093.32,1231.153405,1270.723826,1365.983265,1523.430887,1078.7
H15,1071.572,1253.265851,1282.93819,1397.238091,1557.233759,1104.05
H16,1066.278,1247.975938,1284.360386,1400.194808,1543.300133,1123.61
H17,1063.833,1227.567391,1236.301128,1343.305665,1480.58387,1121.28
H18,1061.364,1179.175837,1239.80479,1281.638086,1413.328693,1113.27
H19,1181.08,1251.643379,1344.449804,1400.518944,1461.463832,1198.13
H20,1349.05,1419.731253,1472.55689,1526.662107,1607.402284,1359.41
H21,1339.76,1404.620503,1426.698758,1496.498742,1572.298439,1349.73
H22,1276.04,1331.241682,1349.892376,1422.303833,1487.090956,1294.93
H23,1171.0,1215.416369,1230.888892,1288.965107,1373.069099,1193.46
H24,1072.28,1114.951718,1122.487578,1180.269068,1261.894553,1090.29
