,REAL,PROPHET_Martes,ARIMA_Martes,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,992.61,1038.626626,1070.246439,1101.574343,1170.989628,980.67
H2,944.1,979.494143,1004.591529,1051.444358,1111.134719,922.52
H3,914.65,954.728689,958.441393,1017.29296,1060.514945,891.411
H4,898.28,934.640699,953.579722,1057.643844,1039.311261,871.78
H5,909.25,951.74127,989.764026,1016.236763,1052.034142,891.46
H6,907.912,917.474018,966.802029,1016.236763,982.112307,864.71
H7,967.444,970.728654,1042.367281,1073.782369,1063.139114,973.16
H8,1072.211,1062.711611,1181.802187,1070.90163,1202.833462,1089.64
H9,1190.475,1162.392002,1272.443513,1273.444872,1315.790047,1231.9
H10,1228.305,1223.746305,1340.748576,1317.823095,1390.549533,1298.49
H11,1285.255,1276.86684,1397.135987,1361.306743,1429.59943,1352.62
H12,1271.919,1279.715879,1420.183305,1372.119606,1439.406539,1364.76
H13,1253.662,1256.410301,1401.156017,1348.537744,1421.976983,1361.38
H14,1281.69,1281.381219,1471.097708,1395.05928,1477.383794,1425.766
H15,1307.17,1274.465774,1509.478642,1414.012768,1508.401851,1453.08
H16,1318.856,1279.11139,1490.03224,1407.975949,1503.974953,1441.72
H17,1272.207,1238.588208,1443.84219,1407.975949,1449.653123,1388.38
H18,1232.71,1201.905936,1406.742461,1298.454382,1381.552916,1311.91
H19,1308.25,1271.525075,1464.731364,1298.454382,1442.925928,1360.78
H20,1472.25,1448.307681,1590.287799,1540.613273,1585.713712,1502.65
H21,1450.58,1420.301373,1527.560685,1540.613273,1558.368991,1477.65
H22,1362.82,1362.975314,1440.635958,1427.278965,1474.181939,1409.33
H23,1220.69,1235.83971,1315.722303,1300.075112,1355.399547,1296.5
H24,1097.72,1142.836071,1214.191995,1200.128008,1242.685378,1173.97
