,REAL,PROPHET_Miercoles,ARIMA_Miercoles,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,1014.67,1066.740201,1120.626695,1110.987567,1151.654154,1043.21
H2,977.7,1009.452528,1063.410602,1122.397271,1092.155099,999.93
H3,951.17,977.841444,1027.638053,1028.537505,1042.927787,967.86
H4,937.72,962.316112,1009.899355,1067.061558,1022.363163,934.58
H5,962.6,967.835114,1025.34511,1026.497862,1036.013729,953.08
H6,947.82,922.627224,1013.865939,965.336075,979.858319,925.73
H7,998.107,968.211448,1088.536653,1099.542271,1070.796814,1030.94
H8,1109.557,1071.429607,1188.081873,1100.325981,1215.003628,1104.7
H9,1186.861,1170.087368,1309.354357,1266.529519,1351.511105,1224.42
H10,1234.751,1238.031956,1383.549629,1344.448361,1417.480182,1279.61
H11,1253.756,1275.666346,1416.187287,1385.369002,1463.342131,1320.73
H12,1236.353,1271.823762,1400.771478,1393.674697,1465.543361,1321.28
H13,1216.144,1244.780813,1408.993692,1372.653015,1448.364317,1301.08
H14,1237.568,1289.307156,1472.092429,1421.621726,1500.545866,1362.34
H15,1254.23,1311.223191,1501.464466,1448.971644,1517.120296,1391.82
H16,1235.847,1312.989402,1489.052765,1436.344319,1496.024862,1386.98
H17,1230.696,1266.361581,1433.854066,1397.786412,1438.013655,1334.5
H18,1186.831,1218.128076,1319.498417,1314.739146,1367.015099,1255.86
H19,1260.91,1283.884539,1465.989318,1434.873827,1439.812923,1344.35
H20,1412.94,1456.058378,1578.639653,1549.650441,1577.058098,1442.85
H21,1384.46,1428.106279,1526.149913,1523.202669,1545.991455,1410.84
H22,1291.68,1346.8642,1465.259307,1435.504571,1463.640029,1337.61
H23,1154.5,1226.725849,1311.47249,1304.595994,1347.046108,1221.23
H24,1051.91,1134.871746,1208.100638,1210.898684,1241.049823,1126.54
