,REAL,PROPHET_Jueves,ARIMA_Jueves,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,974.35,1047.397104,1113.09372,1122.397271,1141.278984,1028.9
H2,933.61,1005.191324,1054.291109,1070.075215,1081.506002,973.47
H3,912.77,972.517721,1041.356821,1036.282511,1041.372355,938.04
H4,903.63,958.2308,1002.787579,1073.438933,1028.242587,915.87
H5,929.08,974.412502,1013.344146,1032.960809,1046.306983,923.16
H6,897.525,947.170339,979.535478,969.378391,990.935965,938.89
H7,990.292,1009.154936,1076.620502,1095.275319,1066.857519,1040.26
H8,1087.694,1119.781537,1195.864925,1095.494401,1212.987487,1151.15
H9,1224.261,1238.242449,1321.845552,1290.719665,1354.174357,1243.45
H10,1292.559,1292.011882,1350.426093,1345.377781,1415.184393,1394.14
H11,1320.306,1322.658758,1407.945215,1373.585178,1466.141374,1340.39
H12,1355.509,1312.95593,1393.948493,1393.674697,1461.419365,1244.37
H13,1329.603,1282.172848,1400.693182,1361.699249,1450.906639,1341.66
H14,1392.276,1326.42633,1459.79689,1414.350538,1499.422637,1420.57
H15,1447.467,1327.635574,1494.122601,1426.916868,1519.879664,1482.66
H16,1416.554,1316.676412,1472.167009,1417.737472,1505.779184,1412.52
H17,1383.041,1280.875549,1391.344984,1373.181129,1452.291311,1335.28
H18,1320.303,1229.470942,1351.289771,1297.997565,1382.943066,1208.15
H19,1351.93,1304.249124,1422.723537,1422.465202,1445.195501,1327.4
H20,1523.6,1470.978669,1538.002034,1537.106916,1590.569286,1467.55
H21,1489.96,1453.769834,1519.987801,1515.637298,1555.782725,1434.34
H22,1408.93,1361.737692,1412.689948,1425.757837,1480.814792,1336.48
H23,1266.46,1240.064762,1304.651271,1313.026074,1365.873348,1214.76
H24,1141.46,1141.846995,1189.817722,1195.852305,1255.274111,1003.18
