,REAL,PROPHET_Viernes,ARIMA_Viernes,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,1057.49,1056.698732,1113.09372,1119.190596,1164.30558,1041.63
H2,998.01,1003.761491,1054.291109,1065.953175,1100.548401,991.23
H3,971.91,971.888454,1041.356821,1032.091426,1060.103384,958.53
H4,957.73,957.908173,1002.787579,1071.12824,1036.958139,937.36
H5,979.34,971.369534,1013.344146,1026.392778,1042.673009,956.08
H6,953.64,924.885114,979.535478,965.386661,957.337035,955.56
H7,1042.19,964.042106,1076.620502,1093.984756,1024.389117,1056.05
H8,1163.468,1058.17691,1195.864925,1090.989755,1141.209023,1160.33
H9,1291.834,1164.167063,1321.845552,1279.961566,1254.484041,1281.2
H10,1365.882,1224.993562,1350.426093,1332.813342,1311.412514,1341.66
H11,1400.245,1249.802425,1407.945215,1371.765048,1359.879446,1338.92
H12,1424.374,1262.968955,1412.792214,1368.183005,1364.154995,1390.76
H13,1419.579,1233.046827,1397.418682,1350.471208,1337.595024,1318.89
H14,1487.611,1263.451784,1462.512054,1394.641576,1344.504186,1442.33
H15,1522.092,1283.869068,1481.410473,1419.248578,1356.508744,1468.04
H16,1502.504,1286.50383,1410.869448,1403.596461,1340.49059,1456.34
H17,1450.128,1244.071509,1361.79138,1356.422417,1307.82339,1401.23
H18,1362.918,1198.106675,1282.463417,1295.728398,1274.650893,1319.18
H19,1394.04,1281.81073,1410.407502,1416.792662,1363.963222,1301.65
H20,1550.37,1449.771581,1548.535802,1516.74867,1517.076893,1501.8
H21,1520.99,1413.430023,1523.83514,1487.557116,1481.49573,1463.29
H22,1450.95,1446.179367,1460.132573,1414.807998,1414.772726,1309.14
H23,1329.87,1415.071659,1352.229594,1308.760997,1318.049138,1281.61
H24,1226.91,1139.491327,1233.953579,1201.095662,1207.902882,1179.78
