,REAL,PROPHET_Sabado,ARIMA_Sabado,PROPHET_TodosDias,ARIMA_TodosDias,CNDC_Predic
H1,1136.55,1058.211448,1124.919889,1120.211184,1125.319576,1123.46
H2,1072.03,1000.510423,1079.80623,1070.289113,1066.075174,1061.16
H3,1039.66,969.078795,1037.747329,1030.343744,1018.872814,1039.67
H4,1010.9,950.777033,1008.163403,1064.348723,979.579753,1005.83
H5,1018.06,950.944046,1009.969519,1019.832758,974.135577,1015.42
H6,972.21,885.658921,976.432751,929.901931,866.357142,949.51
H7,997.739,884.12993,992.237173,995.581965,883.113815,1015.57
H8,1112.479,975.253526,1070.806841,980.57124,967.172032,1119.17
H9,1223.756,1063.502467,1168.519512,1180.191604,1039.416423,1241.11
H10,1319.358,1107.928226,1230.13172,1238.252069,1105.732642,1315.1
H11,1383.259,1134.647716,1270.680866,1268.088115,1149.675796,1356.37
H12,1380.764,1150.651496,1256.504478,1275.695516,1163.90769,1360.24
H13,1358.871,1126.554272,1255.840185,1260.042351,1169.917454,1332.13
H14,1381.495,1112.812497,1236.281504,1258.458606,1171.744415,1341.79
H15,1394.351,1106.27465,1230.335107,1263.878687,1178.597623,1361.62
H16,1394.283,1113.892789,1214.717513,1248.023801,1180.668331,1345.18
H17,1356.196,1114.109638,1224.714023,1230.6943,1167.656723,1333.49
H18,1310.5,1109.464384,1201.830184,1199.246819,1163.979767,1239.81
H19,1370.64,1191.74395,1314.504724,1332.34764,1272.768378,1429.87
H20,1538.83,1375.092657,1453.685771,1457.669316,1442.285391,1513.76
H21,1512.52,1343.384535,1428.885408,1423.69977,1422.779523,1477.0
H22,1439.13,1272.285907,1344.038075,1359.032484,1367.941672,1306.27
H23,1339.06,1171.001342,1241.684293,1255.448666,1275.740723,1305.46
H24,1237.66,1079.209136,1132.00418,1164.436736,1170.836205,1212.45
