FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,TOTAL,DEMANDA MAXIMA
01/01/2018,996.93,885.5,823.23,781.06,765.48,671.51,638.547,658.917,693.868,731.525,756.458,776.87,780.236,776.051,781.997,782.886,786.532,796.96,945,1109.44,1103.62,1045.49,944.19,839.39,19951.95,1117.66
02/01/2018,767.2,728.52,704.12,687.06,688.12,688.57,733.907,796.934,890.036,933.966,962.479,961.845,924.121,936.712,954.443,955.319,949.89,950.255,1018.07,1218.63,1208.18,1124.18,996.14,876.56,21597.525,1224.23
03/01/2018,794.86,762.67,735.37,733.74,738.28,726.91,784.207,884.788,980.223,1019.845,1049.695,1046.624,1011.668,1061.051,1096.238,1097.891,1095.852,1075.148,1112.45,1292.33,1291.79,1204.33,1072.02,943.88,23602.196,1318.38
04/01/2018,848.64,799.54,779.36,764.18,771.54,743.21,828.784,930.204,1034.613,1084.567,1120.194,1120.978,1073.453,1126.189,1178.238,1181.338,1163.197,1117.218,1158.69,1356.889685,1339.68988,1246.8194,1113.943515,984.96376,24829.187,1358.319685
05/01/2018,895.45,842.54,814.05,801.86,805.31,776.19,862.962,954.415,1054.886,1101.739,1133.509,1127.856,1082.479,1131.491,1158.289,1172.473,1168.4,1137.663,1162.87,1354.58,1347.1,1275.4,1156,1031.37,25424.049,1367.2
06/01/2018,934.44,881.91,844.35,826.54,832.26,789.98,830.795,914.854,1001.567,1041.956,1055.989,1044.202,1000.325,995.628,994.435,986.267,974.254,974.732,1059.96,1247.98,1229.58,1158.63,1043.73,939.9,23591.117,1249.01
07/01/2018,859.42,803.34,772.23,751.15,719.77,655.37,650.941,706.414,759.642,811.905,846.1,866.951,863.718,866.428,889.494,901.606,901.744,910.818,1004.07,1209.88,1206.07,1139.69,1042.82,926.5,21087.147,1218.19
08/01/2018,841.46,796.79,771.15,755.95,761.37,758.4,854.529,972.453,1090.771,1135.457,1174.333,1167.505,1128.168,1193.003,1237.563,1233.965,1203.522,1161.225,1198.52,1383.61,1370.46,1291.56,1144.14,999.14,25550.054,1385.39
09/01/2018,901.72,850.04,822.96,801.7,811.01,787.52,854.917,970.828,1099.346,1155.931,1197.896,1190.57,1146.266,1205.593,1248.586,1254.201,1234.448,1192.533,1248.38,1436.94,1414.56,1329.47,1185.52,1053.99,26389.902,1440.31
10/01/2018,951.24,903.02,862.39,843.89,847.81,822.87,910.0523,1033.696,1151.294,1201.215,1228.297,1221.77,1178.019,1234.566,1272.081,1255.369,1217.55,1171.11,1210.17,1395.4,1381.07,1289.4,1157.2,1033.14,26788.33,1396.28
11/01/2018,932.55,882.68,841.22,823.46,837.32,845.06,904.801,1022.832,1141.927,1183.867,1212.751,1195.986,1122.146,1178.986,1228.468,1221.979,1203.443,1149.161,1172.48,1361.18,1329.19,1232.95,1105.03,976.09,26110.992,1362.24
12/01/2018,885.11,835.73,810.59,791.59,799.82,782.07,829.445,911.134,988.83,1038.641,1056.894,1061.503,1025.726,1072.998,1104.409,1103.63,1086.941,1075.467,1162.98,1327.94,1307.69,1225.31,1099.25,985.49,24372.726,1328.76
13/01/2018,892.5,851.19,822.1,807.06,811.25,805.91,821.342,916.78,1028.298,1077.992,1098.195,1091.276,938.95,995.892,1014.995,1019.319,1018.93,1020.713,1125.69,1290.95,1270.98,1189.17,1078.43,957.12,23973.9752,1301.58
14/01/2018,879.97,826.03,802.02,779.15,773.57,766.52,732.083,773.693,817.558,844.251,857.383,847.269,831.05,821.768,830.917,831.757,836.34,861.557,973.81,1150.49,1141.96,1076.88,954.34,848.89,20916.126,1155.44
15/01/2018,778.22,736.67,714.53,712.61,726.79,755.72,843.418,935.153,1023.696,1055.566,1093.263,1084.399,1041.33,1080.338,1125.137,1127.463,1128.581,1096.953,1136.47,1332.9,1313.55,1226.59,1081.58,960.1,24079.669,1333.91
16/01/2018,864.9,824.83,800.57,791.49,791.51,786.19,853.857,957.572,1065.643,1110.65,1144.881,1146.777,1100.399,1163.137,1213.079,1217.395,1191.2264,1155.881,1165.59,1382.19,1366.15,1277.78,1130.11,991.37,25516.809,1383.13
17/01/2018,892.24,847.9,818.63,807.14,818.1,813.31,908.814,990.109,1134.614,1173.751,1203.826,1190.921,1159.86,1228.047,1260.875,1257.003,1232.077,1177.464,1208.39,1412.71,1388.76,1295.56,1155.85,1016.56,26407.731,1414.25
18/01/2018,916.18,867.64,843.94,830.92,840.13,850.9,918.156,1031.914,1137.551,1174.744,1203.678,1204.251,1167.38,1224.464,1272.042,1251.067,1227.31,1170.391,1212.66,1402.84,1382.06,1288.7,1163.56,1021.4,26595.651,1403.83
19/01/2018,920.43,866.99,840.82,835.29,838.43,864.42,915.1,1018.328,1134.359,1177.741,1211.798,1201.931,1148.44,1205.489,1249.016,1226.827,1201.928,1173.476,1206.45,1411.38,1382.37,1294.49,1168.04,1045.43,26551.611,1412.62
20/01/2018,951.6,889.64,860.78,841.56,854.06,835.92,850.02,953.236,1052.565,1098.398,1140.679,1128.85,1092.832,1082.061,1085.429,1089.814,1076.95,1062.208,1115.02,1325.96,1305.9,1229.33,1105,993.83,25084.442,1325.96
21/01/2018,901.22,849.52,815.46,789.83,788.92,749.94,722.514,782.61,850.378,890.72,912.1,924.18,914.49,918.07,934.4,943.475,945.288,928.742,1020.119,1222.95,1227.26,1163.76,1069.26,957.7,22298.72,1229.87
22/01/2018,866.22,818.79,783.86,762.33,765.83,733,738.447,816.448,886.13,933.673,973.619,986.265,982.617,1003.55,1013.574,1011.994,997.278,991.398,1067.8,1302.91,1312.8,1242.01,1118.85,991.42,23141.608,1312.8
23/01/2018,881.8,832.13,801.38,787.08,792.87,818.76,892.044,1015.515,1141.487,1185.974,1235.514,1221.639,1162.931,1232.696,1287.445,1280.706,1262.278,1199.593,1224.45,1414.81,1401.89,1310.41,1173.1,1041.31,26604.986,1414.94
24/01/2018,940.8,891.14,856.44,838.49,848.16,844.19,926.172,1057.057,1177.181,1230.256,1267.773,1227.602,1184.137,1252.894,1299.392,1290.451,1262.537,1210.679,1229,1429.62,1413.5,1332.67,1208.47,1073.73,27298.308,1429.62
25/01/2018,969.59,910.13,876.79,865.7,870.39,907.75,932.487,1037.146,1149.701,1200.298,1224.988,1217.448,1183.233,1231.315,1275.768,1264.943,1238.263,1195.52,1257.78,1417.39,1394.59,1296.53,1163.02,1043.71,27118.674,1417.39
26/01/2018,951.68,892.22,864.26,850.07,852.74,886.8,933.28,1042.18,1176.285,1229.629,1267.361,1232.592,1160.824,1209.856,1230.078,1233.461,1213.968,1163.57,1224.56,1390.89,1367.51,1279,1165.77,1030.41,26853.681,1395.52
27/01/2018,935.11,876.22,832.94,815.65,802.44,811.4,812.504,907.79,1003.364,1083.455,1105.907,1097.314,1050.76,1051.695,1058.462,1043.626,1019.447,996.766,1093.25,1275.43,1251.26,1175.47,1062.93,944.72,24113.068,1277.34
28/01/2018,851.75,803.27,772.72,752.93,744.41,735.53,685.35,732.138,785.051,827.341,850.327,858.162,846.338,851.632,868.197,883.408,883.214,888.64,1004.68,1186.66,1184.49,1115.92,1009.37,878.61,21064.185,1192.94
29/01/2018,799.912,760.1,734.75,719.52,724.16,766.95,833.942,948.899,1058.58042,1092.4484,1116.83132,1105.93893,1057.18106,1097.52232,1142.6013,1155.03252,1128.366,1100.366,1180.26,1340.119,1321.227,1225.18,1082.85,970.28692,24451.001,1341.509
30/01/2018,875.43,831.81,806.77,796.93,800.41,839.35,886.967,993.799,1108.728,1151.739,1183.436,1185.107,1131.539,1200.864,1244.919,1243.166,1214.345,1165.16,1192.54,1391.34,1366.79,1287.47,1146.01,1013.91,26036.9731,1392.6
31/01/2018,908.53,861.07,833.76,825.13,821.58,861.3,906.125,1006.317,1115.527,1137.984,1155.157,1144.911,1080.543,1134.766,1183.833,1194.44,1174.928,1141.482,1204.47,1365.93,1345.21,1255.34,1123.62,989.06,25774.297,1367.51
01/02/2018,880.895,834.123,806.013,797.831,799.194,858.253,892.578,1003.178,1090.04,1120.697,1138.698,1107.615,1038.652,1060.624,1088.886,1080.717,1069.772,1037.136,1128.261,1289.783,1268.996,1180.573,1080.833,924.843,24593.954,1291.023
